Refcode,HOMO-LUMO GAP,SMILES,,Atom Type
ALUFUJ,2.7177,CCN(CC)c1ccc2c(Oc3cc(ccc3C32N(C(=O)c2ccccc32)c2ccccc2CN(Cc2ccccn2)Cc2ccccn2)N(CC)CC)c1,ALUFUJ,CHON
AMAHAX,4.1356,COc1cc(cc(OC)c1OC)C(CO)CN1CCC(CCC1=O)C(C)(C)C,AMAHAX,CHON
AMAHEB,3.8247,COc1ccc(cc1)C(CO)CN1CCC(CCC1=O)C(C)(C)C,AMAHEB,CHON
AMAHUR,4.1090,CC(C)(C)C1CCN(CC2(CO)CCc3ccccc23)C(=O)CC1,AMAHUR,CHON
AMEJAE,2.3019,CC(=NN=C1CC2=C(Nc3ccccc23)c2ccccc2N1)c1ccccn1,AMEJAE,CHN
AMEZOH,2.0253,COc1ccc2N(C)c3c(C)c4ccnc(c5ccc(C)cn5)c4cc3c2c1,AMEZOH,CHON
AMEZUN,2.2141,CN1c2ccc(OC(C)=O)cc2c2cc3c(ccnc3c3ccc(C)cn3)c(C)c12,AMEZUN,CHON
AMPHOM03,3.8707,Nc1ccccc1O,AMPHOM03,CHON
AMUZOY,2.6034,COc1ccc(cc1)C(=O)C(=NO)c1ccc(OC)cc1,AMUZOY,CHON
ANAHUT,4.7447,CC1CCCC2CC(OC(=O)C34CCC(C)(C(=O)O3)C4(C)C)C3(CC12C)OC3(C)C,ANAHUT,CHO
ANAJAB,4.6793,CC1CCCC2CC(OC(=O)C34CCC(C)(C(=O)O3)C4(C)C)C3(CC12C)OC3(C)C,ANAJAB,CHO
ANAXUJ,3.7421,CCOC(=O)C1CC23CCCCC2=C(C)CON3O1,ANAXUJ,CHON
ANEZAV,3.9427,COc1ccc(cc1)C12CCCN(CCC(C1)C(C)(C)C)C2=O,ANEZAV,CHON
ANIYEC,2.5786,OC(=O)C1=C(C(=O)C=C(O1)c1ccccc1)c1ccccc1,ANIYEC,CHO
ANIZUT,2.2501,CCC(CC)(CC)OC(=O)c1c2ccccc2cc2ccccc12,ANIZUT,CHO
ANOBEL,2.2473,CCCCCCCCCCCCCCCCOC(=O)c1c2ccccc2cc2ccccc12,ANOBEL,CHO
ANOBIP,2.2570,O=C(OC12CC3CC(CC(C3)C1)C2)c1c2ccccc2cc2ccccc12,ANOBIP,CHO
ANOTIH,2.2602,O=C(Nc1ccccc1)C(=Cc1ccccc1)C#N,ANOTIH,CHON
ANOXUX,2.7335,OC(C(=O)NC1CCCCC1)c1ccccc1N(=O)=O,ANOXUX,CHON
ANTMEU01,1.7143,C1Cc2c3ccccc3c(CCc3c4ccccc4c1c1ccccc31)c1ccccc21,ANTMEU01,CH
