REFCODES,HOMO-LUMO GAP,SMILES
ABEHUL,3.2681,CN1CCC(CC1)(C#N)C1=CSc2ccccc12
ABESIK,3.7521,Clc1cc(Cl)c(cc1Cl)c1ccccc1
ABRTOL,1.5632,Cc1cc(Br)ccc1N
ACEQUV,3.8679,Cc1ccc(cc1F)C(O)=O
ACNAQU01,1.6792,O=C1C(=O)c2cccc3cccc1c23
ACUVOL,3.1704,CC1CN2N=NC=C2CN2N1C(=O)c1ccccc21
AFOFEI,2.7986,Fc1ccc(Br)c(C=O)c1
AGEPOT,3.1654,CC#CN1c2ccccc2S(=O)(=O)c2ccccc12
AGILAE,4.6742,CC1(O)CCOC(C1)c1ccccc1
AHACIX,2.7837,Nc1ncc(c(n1)c1ccccc1)N(=O)=O
AHACUJ,2.9916,Brc1cnc(nc1c1ccccc1)c1ccccc1
AHEYUI,1.0074,Fc1cccc(F)c1C1=C2C=C3C(=O)c4ccccc4C(=C3C=C2C(=O)c2ccccc12)c1c(F)cccc1F
AHUMUL,3.5978,Nc1nc(Cl)c(c(Cl)n1)c1ccccc1
AJAGOH,3.3907,O=C1CNC(=O)CN1.Oc1cc(Cl)c(O)cc1Cl
AKERAK,2.0998,Brc1c2ccc3ccc4ccccc4c3c2cc2c1ccc1ccc3ccccc3c21
AKUNOK,2.3934,Fc1c(F)c(F)c(c(c1F)c1ccc(cc1)c1ccccc1)N(=O)=O
AKUPAY,2.8538,Fc1cc(c(c(F)c1F)c1ccccc1)N(=O)=O
AKUPEC,2.803,Fc1cc(F)c(c2ccccc2)c(c1F)N(=O)=O
ALOWAZ01,2.8811,Brc1ccc2CCc3ccc(Br)c1c23
ALOWAZ02,2.8809,Brc1ccc2CCc3ccc(Br)c1c23
ALUFUJ,2.7177,CCN(CC)c1ccc2c(Oc3cc(ccc3C32N(C(=O)c2ccccc32)c2ccccc2CN(Cc2ccccn2)Cc2ccccn2)N(CC)CC)c1
AMAHAX,4.1356,COc1cc(cc(OC)c1OC)C(CO)CN1CCC(CCC1=O)C(C)(C)C
AMAHEB,3.8247,COc1ccc(cc1)C(CO)CN1CCC(CCC1=O)C(C)(C)C
AMAHUR,4.109,CC(C)(C)C1CCN(CC2(CO)CCc3ccccc23)C(=O)CC1
AMEJAE,2.3019,CC(=NN=C1CC2=C(Nc3ccccc23)c2ccccc2N1)c1ccccn1
AMEZOH,2.0253,COc1ccc2N(C)c3c(C)c4ccnc(c5ccc(C)cn5)c4cc3c2c1
AMEZUN,2.2141,CN1c2ccc(OC(C)=O)cc2c2cc3c(ccnc3c3ccc(C)cn3)c(C)c12
AMPHOM03,3.8707,Nc1ccccc1O
AMUZOY,2.6034,COc1ccc(cc1)C(=O)C(=NO)c1ccc(OC)cc1
ANAHUT,4.7447,CC1CCCC2CC(OC(=O)C34CCC(C)(C(=O)O3)C4(C)C)C3(CC12C)OC3(C)C
ANAJAB,4.6793,CC1CCCC2CC(OC(=O)C34CCC(C)(C(=O)O3)C4(C)C)C3(CC12C)OC3(C)C
ANAXUJ,3.7421,CCOC(=O)C1CC23CCCCC2=C(C)CON3O1
ANEZAV,3.9427,COc1ccc(cc1)C12CCCN(CCC(C1)C(C)(C)C)C2=O
ANIYEC,2.5786,OC(=O)C1=C(C(=O)C=C(O1)c1ccccc1)c1ccccc1
ANIZUT,2.2501,CCC(CC)(CC)OC(=O)c1c2ccccc2cc2ccccc12
ANOBEL,2.2473,CCCCCCCCCCCCCCCCOC(=O)c1c2ccccc2cc2ccccc12
ANOBIP,2.257,O=C(OC12CC3CC(CC(C3)C1)C2)c1c2ccccc2cc2ccccc12
ANOTIH,2.2602,O=C(Nc1ccccc1)C(=Cc1ccccc1)C#N
