Density,BAND GAP
2.02904,2.431
1.48448,2.747
1.67719,2.496
1.43883,3.017
1.54981,1.221
1.55693,1.19
1.62574,1.108
1.67761,0.734
2.25284,3.822
1.9421,2.434
1.68949,2.457
1.28201,2.427
1.65293,2.363
1.79277,2.043
1.8595,3.61
1.40421,2.551
1.4031,3.459
2.96299,3.444
1.44694,2.947
1.90906,3.09
1.64171,2.86
1.36896,1.967
1.63006,2.086
1.94498,0.925
1.73636,1.913
3.79317,2.095
3.19847,2.521
2.52541,3
1.75149,2.904
1.36985,2.068
1.7284,2.98
1.97988,2.442
1.6393,2.387
1.60753,2.958
1.63068,2.191
1.4175,2.732
3.16343,2.943
1.79304,2.755
2.22681,2.849
1.60811,2.07
1.55408,3.794
1.37862,2.518
1.62345,3.037
1.26915,3.287
1.41358,2.672
1.32013,1.857
1.47433,1.652
1.46794,3.302
1.49061,2.413
1.47249,2.44
1.53692,2.726
1.29769,4.014
1.42973,1.413
1.39605,2.55
1.95136,2.355
2.96482,3.193
1.37088,2.695
2.0139,1.299
1.57519,1.826
1.33792,3.277
1.40501,3.34
1.99586,2.627
1.48265,2.763
1.46845,3.082
2.14891,2.227
1.31228,2.542
1.7411,3.466
1.26787,2.295
1.43281,2.903
2.01792,2.109
2.87087,1.815
2.22552,1.853
1.55082,2.435
1.92464,2.538
1.45738,2.406
1.44262,3.097
1.62921,1.58
1.5784,1.64
1.31514,3.343
2.00516,2.411
1.47328,2.473
1.43154,2.473
1.52106,1.768
1.41698,1.281
1.48353,1.798
1.49578,1.926
1.37057,2.664
2.01389,
1.34006,1.958
2.83821,3.245
1.38429,1.603
1.29948,2.802
1.57993,3.314
1.47395,3.182
1.42644,3.008
1.96543,2.516
1.48425,2.771
1.24533,4.01
1.61112,2.788
1.47737,0.789
1.51435,2.999
1.59792,1.885
1.56176,2.283
1.56766,2.171
2.07389,2.641
2.072,2.634
1.55362,1.956
1.41863,2.907
1.41647,3.302
1.67821,1.319
1.45584,0.974
1.78392,2.091
1.68761,3.85
1.47645,1.621
1.96748,1.043
1.31628,2.674
1.5198,3.464
1.51598,3.115
1.296,3.549
1.2642,3.369
1.80762,3.052
1.61788,1.94
1.99395,1.872
1.6113,2.646
1.59051,2.73
1.65582,2.766
1.83354,3.448
1.46193,1.145
1.71283,2.862
2.24427,2.796
1.54766,1.625
1.58968,0.675
1.59322,2.213
1.88818,2.197
1.85157,3.068
1.64047,3.298
1.35464,2.777
1.45109,1.94
1.57605,1.901
2.39611,3.133
1.3409,3.004
1.64763,2.407
1.35,3.476
1.48403,2.466
2.59395,2.985
1.98364,3.086
1.94866,3.153
1.46887,1.844
1.3659,2.268
1.38994,2.239
2.28973,1.474
1.74428,1.618
2.02457,2.081
1.57746,2.891
1.59777,2.883
1.85965,1.414
1.88489,1.161
1.49986,2.2
1.46317,2.888
1.73873,2.097
1.44009,1.718
1.55172,2.362
1.47965,2.423
1.48979,3.645
1.4389,3.317
1.3877,0.995
1.45916,2.749
1.59198,2.998
1.57957,3.213
1.57455,3.214
1.44832,2.13
1.46657,1.904
1.5086,0.973
2.29558,2.128
1.36098,2.685
1.7648,3.017
1.72159,3.082
1.71925,2.284
1.72948,2.036
1.5241,1.802
1.67791,1.935
1.65125,2.221
1.44443,2.611
1.95197,2.309
1.5641,3.588
1.43167,2.653
1.3813,2.989
1.69272,1.337
1.55186,3.423
1.56407,2.48
1.54231,3.585
1.91368,2.48
1.55402,1.271
1.58061,1.279
1.58984,0.818
2.03095,1.605
1.55354,2.608
1.60314,3.42
1.5709,3.848
1.66152,2.396
1.38304,2.175
1.31242,2.8
1.47328,2.347
1.43752,2.442
1.21244,3.282
1.63015,1.239
1.44325,2.419
1.70251,2.195
1.4959,1.414
1.43664,2.32
1.4731,2.651
1.80544,2.72
2.22525,2.705
1.28439,2.426
1.44478,1.482
1.79187,2.843
2.3047,2.658
1.7382,2.677
1.40753,3.988
1.36797,2.971
1.30465,4.083
1.39237,2.755
1.28879,3.137
1.93032,1.828
1.54328,2.525
2.56946,3.484
1.87306,1.505
1.38248,3.198
1.3951,1.838
1.37235,1.968
1.62389,1.615
1.4818,2.453
1.55809,1.645
1.5206,2.895
2.27787,1.265
1.47455,2.308
1.52586,2.106
1.46474,1.901
1.61298,2.763
1.50849,2.564
2.5697,1.291
1.62137,2.464
2.64894,2.325
1.73433,1.765
1.34594,3.005
1.54006,1.69
1.58015,1.97
1.57665,2.035
1.6309,2.306
1.58997,2.514
1.60672,2.69
1.72963,2.729
1.78631,2.407
1.63173,2.5
1.92654,3.188
1.84859,1.857
1.75099,3.422
1.85533,2.685
1.82549,3.277
1.64947,1.534
1.54108,1.212
2.03748,2.514
1.89821,2.598
1.66385,2.582
1.85157,2.517
1.51008,2.864
1.4512,2.978
1.49265,1.93
2.05544,2.712
2.37005,2.289
1.68248,2.249
2.12438,3.016
1.41296,2.435
1.33944,2.402
2.16626,2.201
2.27503,1.908
1.86321,2.141
1.6969,2.076
1.57904,2.523
1.53398,1.514
1.55859,2.812
1.48056,2.805
1.68899,3.275
1.53506,2.2
1.48378,1.65
1.77879,2.719
1.50648,2.638
1.64808,2.922
2.20745,2.678
1.69842,1.612
1.5802,3.16
1.84531,3.959
1.60021,2.856
1.52725,2.704
1.80725,2.615
1.35923,2.98
1.69964,2.234
2.32506,3.243
1.63904,1.956
1.51051,3.004
1.40835,2.268
1.67888,2.295
1.55196,2.303
1.47676,2.648
1.65205,0.951
1.65512,0.837
1.65894,0.906
1.76121,0.937
1.64879,
1.38828,
1.54175,
1.5628,
1.59606,
1.60112,
2.0054,
1.90308,
2.02466,
2.02466,
1.42356,
1.75533,
1.58827,
1.89776,
2.27411,
1.31834,
1.39571,
1.49595,
1.59195,
1.79449,
1.64036,
1.79371,
1.70809,
1.62211,
1.53436,
1.73493,
1.89127,
1.57196,
1.57196,
1.85537,
1.64812,
1.34376,
1.79521,
2.5448,
1.67109,
1.91989,
1.78912,
2.41298,
1.63627,
1.94184,
1.51648,
1.51562,
1.76632,
1.76428,
1.76691,
2.26746,1.48
1.4853,3.105
2.44014,3.176
1.87432,2.77
1.32019,3.325
1.37085,2.389
1.43877,2.844
1.64892,2.626
1.5094,2.251
1.46957,2.91
1.73822,3.936
1.40248,0.944
1.62762,2.318
1.52031674,1.545
1.50003525,2.303
1.80613413,3.097
1.57826423,1.818
1.85672351,1.965
1.45926606,3.705
1.2056176,0.325
1.97687156,2.148
1.37456669,4.195
3.42720289,2.025
1.77758919,2.231
2.7524351,1.301
1.49377285,1.063
1.56886077,1.715
2.39372258,2.898
2.04701462,3.798
1.39024522,2.437
2.08820166,2.505
1.41515154,4.007
1.32423662,3.114
1.5414837,2.79
1.66577841,3.102
1.82382044,1.924
2.57659839,1.711
1.60137747,2.122
1.54972386,3.779
1.7536212,2.015
1.68621867,2.602
1.44295,3.832
2.47209342,Not Found
2.85235276,2.936
1.44490941,2.288
1.45561236,2.393
1.35954952,2.998
1.35702398,2.757
2.38942369,2.298
1.30336978,2.839
1.52360519,3.257
1.56379072,3.318
1.30640852,4.316
1.49268099,4.338
1.38745469,2.655
1.58416863,2.115
1.72798821,1.89
1.5282787,0.644
1.43395876,3.857
1.56182052,2.476
1.35465612,2.601
2.17373058,1.825
1.72118479,1.73
2.6240837,2.666
1.73703181,1.789
1.78788263,3.192
1.28622333,2.233
1.47984678,2.226
1.6845367,2.417
1.84056599,2.074
1.7303386,2.177
1.4939078,2.618
1.32700031,0.979
2.40206369,2.098
2.03193116,1.448
1.61614776,1.346
1.52756174,2.333
1.88268464,1.912
1.96568967,Not Found
1.45619229,2.643
2.46730907,2.244
1.47199854,2.614
1.54035087,3.645
1.39994686,2.768
,
1.39354407,No bandgap located
1.71267911,3.145
1.43104648,2.504
1.61727915,3.463
1.35520232,3.161
1.38195535,4.263
1.50771131,1.87
1.88050105,3.494
1.79719416,2.1
1.74469601,3.459
2.40796966,3.172
1.37509192,1.996
1.72770422,1.999
2.06774297,2.527
1.37119579,3.785
1.74431662,3.45
1.93568766,1.805
1.42757482,2.277
1.87710158,2.052
2.01549919,2.337
1.99324727,2.363
1.95389091,1.839
1.84333457,3.085
1.65813829,2.197
1.57754528,0.968
1.76339893,3.576
1.73861802,3.605
1.42536014,2.301
1.26546961,2.306
1.3361716,3.122
1.38232761,3.266
1.44968658,1.742
1.44987965,1.746
1.70299045,1.799
1.87565729,2.071
1.70299594,2.102
1.62345589,1.793
1.72601766,2.07
1.61430369,2.362
2.17875319,3.019
1.3843595,1.732
1.73866886,1.353
1.6868199,3.13
1.71428509,3.163
1.4426789,3.829
1.93613523,3.544
1.70486498,2.243
1.61168436,1.85
1.51626719,0.22
1.49599392,0.216
1.7020385,3.885
1.43705561,2.278
1.55204101,1.396
1.79837536,2.333
1.57998481,2.275
1.8373779,2.179
2.34135807,2.105
2.09386344,2.054
1.85658977,2.25
1.6592367,1.659
1.63365505,1.763
2.34939186,Not Found
2.32942103,4
1.80241174,2.04
1.76950677,2.805
1.41526193,2.463
1.34594831,2.396
1.77815059,3.061
1.9677152,3.7
2.04198658,No bandgap located
1.3268011,3.789
1.81739518,2.769
1.58759652,2.559
1.39517245,4.337
1.31863079,1.967
1.5798252,2.905
1.38356218,3.383
1.83046402,3.496
2.09172193,1.812
1.81556233,2.634
1.53125663,1.959
1.72632728,1.772
2.27429299,2.863
1.77100652,2.905
1.53648397,2.185
1.70825259,1.218
2.07054085,1.186
1.66881563,2.717
1.6619441,2.781
2.45513279,1.661
1.44264763,3.25
1.58573032,2.162
2.28192016,3.072
2.027264,2.988
1.63435834,2.496
1.34456921,2.496
1.28846692,3.412
1.41654941,2.599
1.810472,2.429
1.26545375,3.175
1.80324482,No bandgap located
1.69753756,2.655
1.48940589,2.517
2.08119784,3.095
1.61831607,1.681
1.72738168,1.449
1.8045868,2.56
1.99943736,2.817
2.36794125,2.634
1.55631601,3.855
1.69404978,2.264
1.53321467,1.782
1.54155988,1.671
1.98193926,Not Found
1.43343553,2.427
1.4512991,2.607
1.51705423,2.691
1.38890831,1.896
1.56112857,2.954
1.92955,1.623
1.51754478,2.661
1.61607954,No bandgap located
1.78426659,No bandgap located
1.53369733,1.696
1.66916505,1.798
1.64980586,2.427
